Weeks,ILI+,cases,index_baidu
1,0.000462,993797.464,109144
2,0.000735,1723992.542,123638
3,0.000756,3046489.212,128076
4,0.000945,2616221.557,128428
5,0.000782,2680154.679,129101
6,0.000999,3351845.72,135045
7,0.001271,4387521.07,154032
8,0.00184,5814520.235,156255
9,0.00207,7593252.745,139120
10,0.002565,9689675.726,144081
11,0.002665,12277539.55,149577
12,0.003784,15418179.19,152364
13,0.00635,18671410.58,150316
14,0.009126,21309454.22,165559
15,0.011556,22684949.4,172508
16,0.01854,22663904.96,199594
17,0.030675,21804444.81,298324
18,0.03772,20448940.04,303557
19,0.042398,18841876.67,281864
20,0.039984,17129246.06,215108
21,0.035998,15419369.88,201587
22,0.04095,13775281.97,221796
23,0.039961,12302953.97,214146
24,0.03321,11643685.74,208283
25,0.026492,14754671.27,180707
26,0.01891,21736922.38,158144
27,0.018056,19706765.53,160610
28,0.018157,13829253.77,130039
29,0.01768,9212133.693,147657
30,0.012258,6247344.701,155475
31,0.0096,4246926.571,145655
